Comment,Designator,Footprint,LCSC
TEFT4300,"F_R1,L_R1,R_R2",XDCR_TEFT4300,C118301
100k,"R_FR3,R_LR3,R_RR3",R_0805_2012Metric,C149504
82,"R_FPD1,R_LPD1,R_RPD1",R_0805_2012Metric,C17408
10k,"R_FR2,R_LR2,R_RR2",R_0805_2012Metric,C17414
150,"R_F1,R_L1,R_R1",R_0805_2012Metric,C17471
1.8k,"R_FR1,R_LR1,R_RR1",R_0805_2012Metric,C17513
13,"R_F_EM1,R_L_EM1,R_R_EM1",R_0805_2012Metric,C17544
4.7u,"C_EM1,C_EM2,C_EM5",C_0805_2012Metric,C1779
2N2222A,"FQ1,LQ1,RQ1",TO92254P470H750-3,C20616319
0.1u,"C_EM3,C_EM4,C_EM6",C_0805_2012Metric,C49678
TSAL4400,"F_LED1,L_LED1,R_LED1",LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,C94135
JP9,10k_JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TP3,VoutL_TP1,TestPoint_Pad_D2.0mm,
JP5,10k_JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
IcL_TP,TP1,TestPoint_Pad_D2.0mm,
TP6,VoutR_TP1,TestPoint_Pad_D2.0mm,
TP4,VoutF_TP1,TestPoint_Pad_D2.0mm,
JP6,10k_JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
