Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
10k_JP1,JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,82.55,-95.87,90.0,top
10k_JP2,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,109.22,-84.47,90.0,top
10k_JP3,JP9,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,118.76,-73.66,180.0,top
C_EM1,4.7u,C_0805_2012Metric,71.12,-83.475,-90.0,top
C_EM2,4.7u,C_0805_2012Metric,96.52,-67.31,90.0,top
C_EM3,0.1u,C_0805_2012Metric,74.93,-83.475,-90.0,top
C_EM4,0.1u,C_0805_2012Metric,99.06,-67.31,90.0,top
C_EM5,4.7u,C_0805_2012Metric,124.46,-71.12,45.0,top
C_EM6,0.1u,C_0805_2012Metric,128.496274,-74.703726,45.0,top
F_LED1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,104.14,-63.5,180.0,top
F_R1,TEFT4300,XDCR_TEFT4300,110.2025,-67.31,0.0,top
FQ1,2N2222A,TO92254P470H750-3,103.6775,-74.399,0.0,top
J1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,132.08,-96.52,-90.0,top
J2,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,105.42,-85.8775,0.0,top
L_LED1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,73.66,-74.93,-135.0,top
L_R1,TEFT4300,XDCR_TEFT4300,83.82,-73.66,45.0,top
LQ1,2N2222A,TO92254P470H750-3,85.087915,-80.385474,-135.0,top
R_F1,150,R_0805_2012Metric,97.79,-73.66,90.0,top
R_F_EM1,13,R_0805_2012Metric,93.98,-68.58,90.0,top
R_FPD1,82,R_0805_2012Metric,93.98,-73.66,-90.0,top
R_FR1,1.8k,R_0805_2012Metric,99.06,-80.04,180.0,top
R_FR2,10k,R_0805_2012Metric,104.14,-80.01,-90.0,top
R_FR3,100k,R_0805_2012Metric,109.22,-78.74,0.0,top
R_L1,150,R_0805_2012Metric,86.36,-86.36,45.0,top
R_L_EM1,13,R_0805_2012Metric,78.74,-83.82,-135.0,top
R_LED1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,133.193693,-75.114591,135.0,top
R_LPD1,82,R_0805_2012Metric,90.17,-82.55,45.0,top
R_LR1,1.8k,R_0805_2012Metric,72.39,-91.44,-90.0,top
R_LR2,10k,R_0805_2012Metric,77.47,-91.44,-90.0,top
R_LR3,100k,R_0805_2012Metric,82.55,-91.44,-90.0,top
R_R1,150,R_0805_2012Metric,124.46,-80.01,0.0,top
R_R2,TEFT4300,XDCR_TEFT4300,135.89,-82.55,-45.0,top
R_R_EM1,13,R_0805_2012Metric,131.455235,-84.465235,135.0,top
R_RPD1,82,R_0805_2012Metric,123.19,-74.93,180.0,top
R_RR1,1.8k,R_0805_2012Metric,114.3,-81.28,0.0,top
R_RR2,10k,R_0805_2012Metric,114.3,-77.47,0.0,top
R_RR3,100k,R_0805_2012Metric,114.3,-73.66,0.0,top
RQ1,2N2222A,TO92254P470H750-3,127.002085,-86.357915,135.0,top
TP1,IcL_TP,TestPoint_Pad_D2.0mm,73.66,-87.63,90.0,top
VoutF_TP1,TP4,TestPoint_Pad_D2.0mm,116.84,-67.31,90.0,top
VoutL_TP1,TP3,TestPoint_Pad_D2.0mm,87.63,-71.12,90.0,top
VoutR_TP1,TP6,TestPoint_Pad_D2.0mm,137.16,-88.9,90.0,top
